"RowIndex","Prediction"
1,"2"
2,"2"
3,"2"
4,"1"
5,"2"
6,"1"
7,"-1"
8,"-2"
9,"2"
10,"2"
11,"-1"
12,"1"
13,"2"
14,"2"
15,"-1"
16,"1"
17,"0"
18,"0"
19,"-1"
20,"1"
21,"2"
22,"1"
23,"2"
24,"1"
25,"-1"
26,"-2"
27,"1"
28,"0"
29,"-1"
30,"-1"
31,"-2"
32,"-1"
33,"-2"
34,"1"
35,"-1"
36,"2"
37,"2"
38,"2"
39,"0"
40,"0"
41,"-2"
42,"-2"
43,"-2"
44,"2"
45,"-1"
46,"2"
47,"2"
48,"2"
49,"-2"
50,"1"
51,"-1"
52,"2"
53,"2"
54,"1"
55,"-1"
56,"-1"
57,"-2"
58,"2"
59,"2"
60,"2"
61,"1"
62,"2"
63,"1"
64,"0"
65,"-1"
66,"-1"
67,"2"
68,"0"
69,"-1"
70,"-2"
71,"2"
72,"2"
73,"2"
74,"1"
75,"1"
76,"2"
77,"1"
78,"1"
79,"-1"
80,"-1"
81,"1"
82,"2"
83,"1"
84,"2"
85,"-1"
86,"-1"
87,"-1"
88,"1"
89,"-2"
90,"1"
91,"-1"
92,"2"
93,"1"
94,"-1"
95,"1"
96,"1"
97,"2"
98,"-1"
99,"2"
100,"-2"
101,"0"
102,"0"
103,"-1"
104,"0"
105,"0"
106,"0"
107,"0"
108,"-1"
109,"1"
110,"1"
111,"-2"
112,"-1"
113,"0"
114,"-2"
115,"0"
116,"1"
117,"0"
118,"2"
119,"-1"
120,"-1"
121,"2"
122,"0"
